t,motor_tested,curr_target_mA,on_target,i_q_RI8523_mA,futek_torque_Nm
0.5896947383880615,RI8523,-10.0,1,329.193,-8.847673599596678,-1.5484972563859958
0.5937480926513672,RI8523,-10.0,1,329.13,-8.856512434361509,-1.5417470503860584
0.596954345703125,RI8523,-10.0,1,329.04,-8.847673599596678,-1.5390469679860836
0.5997397899627686,RI8523,-10.0,1,328.977,-8.847673599596678,-1.534996844386118
0.6026756763458252,RI8523,-10.0,1,328.878,-8.838834764831846,-1.534996844386118
0.6058495044708252,RI8523,-10.0,1,328.824,-8.838834764831846,-1.545797173986021
0.6087996959686279,RI8523,-10.0,1,328.725,-8.829995930067014,-1.537696926786096
0.6118645668029785,RI8523,-10.0,1,328.662,-8.829995930067014,-1.5390469679860836
0.6161699295043945,RI8523,-10.0,1,328.617,-8.838834764831846,-1.540397009186071
0.6202921867370605,RI8523,-10.0,1,328.572,-8.865351269126341,-1.534996844386118
0.6256122589111328,RI8523,-10.0,1,328.527,-8.829995930067014,-1.5390469679860836
0.6299457550048828,RI8523,-10.0,1,328.48199999999997,-8.856512434361509,-1.5444471327860334
0.6331286430358887,RI8523,-10.0,1,328.446,-8.821157095302182,-1.5444471327860334
0.6364545822143555,RI8523,-10.0,1,328.401,-8.829995930067014,-1.540397009186071
0.6398379802703857,RI8523,-10.0,1,328.356,-8.838834764831846,-1.5525473799859615
0.643247127532959,RI8523,-10.0,1,328.311,-8.821157095302182,-1.534996844386118
0.6464061737060547,RI8523,-10.0,1,328.275,-8.856512434361509,-1.5390469679860836
0.6495141983032227,RI8523,-10.0,1,328.23,-8.81231826053735,-1.5444471327860334
0.6529948711395264,RI8523,-10.0,1,328.185,-8.81231826053735,-1.5444471327860334
0.6564321517944336,RI8523,-10.0,1,328.14,-8.81231826053735,-1.5471472151860084
0.6596331596374512,RI8523,-10.0,1,328.104,-8.821157095302182,-1.551197338785974
0.662895679473877,RI8523,-10.0,1,328.059,-8.856512434361509,-1.5538974211859489
0.6661233901977539,RI8523,-10.0,1,328.023,-8.838834764831846,-1.5592975859858988
0.6692495346069336,RI8523,-10.0,1,327.978,-8.803479425772519,-1.5579475447859115
0.6724808216094971,RI8523,-10.0,1,327.915,-8.838834764831846,-1.5606476271858896
0.675525426864624,RI8523,-10.0,1,327.843,-8.829995930067014,-1.5525473799859615
0.6784360408782959,RI8523,-10.0,1,327.78,-8.847673599596678,-1.5525473799859615
0.6816558837890625,RI8523,-10.0,1,327.717,-8.838834764831846,-1.5592975859858988
0.6844415664672852,RI8523,-10.0,1,327.645,-8.829995930067014,-1.540397009186071
0.6872260570526123,RI8523,-10.0,1,327.591,-8.865351269126341,-1.5471472151860084
0.6899363994598389,RI8523,-10.0,1,327.528,-8.829995930067014,-1.5565975035859239
0.6929330825805664,RI8523,-10.0,1,327.456,-8.829995930067014,-1.5552474623859365
0.6957323551177979,RI8523,-10.0,1,327.384,-8.838834764831846,-1.5538974211859489
0.6985151767730713,RI8523,-10.0,1,327.312,-8.865351269126341,-1.5538974211859489
0.7013711929321289,RI8523,-10.0,1,327.222,-8.856512434361509,-1.5565975035859239
0.7048792839050293,RI8523,-10.0,1,327.123,-8.847673599596678,-1.543097091586046
0.707988977432251,RI8523,-10.0,1,327.04200000000003,-8.829995930067014,-1.5444471327860334
0.7107713222503662,RI8523,-10.0,1,326.979,-8.856512434361509,-1.5484972563859958
0.7134771347045898,RI8523,-10.0,1,326.898,-8.856512434361509,-1.5336468031861306
0.7162797451019287,RI8523,-10.0,1,326.826,-8.874190103891173,-1.545797173986021
0.7191121578216553,RI8523,-10.0,1,326.745,-8.865351269126341,-1.540397009186071
0.7235922813415527,RI8523,-10.0,1,326.7,-8.847673599596678,-1.543097091586046
0.7259516716003418,RI8523,-10.0,1,326.592,-8.847673599596678,-1.545797173986021
0.7289156913757324,RI8523,-10.0,1,326.439,-8.821157095302182,-1.5390469679860836
